Name,Time,Prod,Area,AverProd,NormProd
MuPing,2007,371657,11597,32.04768475,
MuPing,2008,474863,11423,41.57077825,
MuPing,2009,491427,12871,38.18094942,
MuPing,2010,492433,12743,38.64341207,
MuPing,2011,507243,12908,39.29679269,
MuPing,2012,509271,12945,39.34113557,
MuPing,2013,553835,12629,43.8542244,
MuPing,2014,543988,12720,42.7663522,
MuPing,2015,554733,12781.8,43.40022532,
MuPing,2016,559938,12959,43.20842658,
MuPing,2017,562466,13205,42.59492616,
MuPing,2018,562466,13205,42.59492616,
MuPing,2019,595271,13955,42.65646722,
MuPing,2020,643128,13979,46.00672437,
MuPing,2021,640097,13946,45.89825039,
MuPing,2022,633810,13677,46.34130292,
QiXia,2003,684616,21779,31.43468479,
QiXia,2004,1001128,21397,46.78824134,
QiXia,2005,993471,29185,34.04046599,
QiXia,2006,1028232,30850,33.33004862,
QiXia,2007,1085443,31682,34.26055805,
QiXia,2008,1320608,38687,34.1357045,
QiXia,2009,1394447,38732,36.00245275,
QiXia,2010,1419914,38810,36.58629219,
QiXia,2011,1438515,38822,37.0541188,
QiXia,2012,1463913,41824,35.00174541,
QiXia,2013,1478194,41960,35.22864633,
QiXia,2014,1531353,42742,35.82782743,
QiXia,2015,1494731,42430.6,35.22766588,
QiXia,2016,1785485,44693,39.94999217,
QiXia,2017,1833684,44678,41.04221317,
QiXia,2018,1833683,44678,41.04219079,
QiXia,2019,1913536,45470,42.08348362,
QiXia,2020,1921821,44197,43.48306446,
QiXia,2021,1852741,44181,41.93524366,
QiXia,2022,1984667,44702,44.3977227,
ZhaoYuan,2003,146969,13470,10.9108389,
ZhaoYuan,2004,234840,13643,17.2132229,
ZhaoYuan,2005,256127,14030,18.25566643,
ZhaoYuan,2006,248227,10671,23.26183113,
ZhaoYuan,2007,248358,10493,23.66892214,
ZhaoYuan,2008,276941,10266,26.97652445,
ZhaoYuan,2009,384045,10512,36.53396119,
ZhaoYuan,2010,430047,10880,39.52637868,
ZhaoYuan,2011,449647,11536,38.97772191,
ZhaoYuan,2012,499594,11927,41.88764987,
ZhaoYuan,2013,542823,12376,43.86094053,
ZhaoYuan,2014,550446,12445,44.23029329,
ZhaoYuan,2015,567756.27,12445.2,45.62050188,
ZhaoYuan,2016,571120.82,12226,46.71362833,
ZhaoYuan,2017,573473,12170,47.12185703,
ZhaoYuan,2018,573472,12170,47.12177486,
ZhaoYuan,2019,598673,11726,51.05517653,
ZhaoYuan,2020,622846,12290,50.67908869,
ZhaoYuan,2021,667242,12778,52.21803099,
ZhaoYuan,2022,679318,12788,53.12152018,
